lsoa11,r_dec,h_dec,e_dec,ahah_dec,r_dom,h_dom,e_dom,ahah
E01000122,7,6,7,7,25.66667493,15.84908916,25.92217125,22.41300956
E01000123,7,5,8,6,23.53649675,14.49605699,28.60499307,22.13535102
E01000124,9,2,8,7,41.88331466,4.109349318,28.21952488,24.53111582
E01000125,9,1,8,8,49.73966831,1.980506594,32.87216176,27.93527616
E01000126,6,5,8,5,18.57248486,11.94720871,29.32177489,19.86715668
E01000127,9,1,8,7,40.6498249,0.768372929,31.81116929,24.17337488
E01000128,9,2,8,8,36.03024849,4.66567408,35.05070782,25.04304477
E01000129,10,1,9,10,68.4062405,1.156969147,36.02503711,34.85569112
E01000130,7,3,8,5,23.64878956,6.098146925,29.16076324,19.50052238
E01000131,8,3,9,8,29.45844955,7.421309639,37.97901597,24.7776089
E01000132,9,1,8,9,49.0960523,1.762735099,34.56881213,28.2087352
E01000133,8,3,8,7,30.70375451,6.405152913,30.17043086,22.26623316
E01000134,8,3,9,8,33.24314368,6.613816418,36.81485216,25.36783621
E01000135,9,2,10,9,38.77549907,2.632438237,52.33024683,30.95992515
E01000136,9,2,8,7,38.1955999,4.065159568,31.9722552,24.53754644
E01000137,9,2,9,9,39.14252024,2.592821236,46.49811792,29.14296981
E01000138,8,2,10,9,30.16033369,3.446405938,53.30892607,28.71663374
E01000139,8,1,10,9,34.79738034,1.352314858,54.71543619,29.99901651
E01000140,9,1,9,9,49.08225874,0.799896104,47.36032647,32.0980178
E01000141,10,1,10,10,78.08696522,0.620342855,58.4359342,45.26347338
E01000142,9,2,10,10,36.57344585,3.876362753,61.22114774,33.59017922
E01000143,9,2,10,10,42.23556107,3.159383721,64.82404054,36.403859
E01000144,10,1,9,10,64.00055301,0.342567295,46.81662907,36.68614297
E01000145,9,1,10,10,44.28688346,1.732798133,56.97176323,34.00450477
E01000146,10,1,9,10,76.173515,0.245033249,43.2758253,39.5015936
E01000147,10,1,9,9,51.05853178,0.854036556,38.38535492,29.80685504
E01000148,9,1,9,8,44.32796601,2.22431881,36.43776533,27.40895974
E01000150,8,4,9,8,33.35886331,8.126127422,37.67190648,26.20303735
E01000151,6,5,7,5,18.67641175,12.1917859,25.02958012,18.56818452
E01000152,7,6,7,6,23.30305083,16.95572628,25.27969144,21.79725189
E01000153,6,6,8,6,20.23142304,18.18778836,27.82034132,22.04093028
E01000154,7,3,8,5,21.9345112,7.967880542,29.64327108,19.72974754
E01000155,7,3,8,6,23.33604115,7.833647872,35.80463786,22.17986435
E01000156,9,1,8,8,49.93441028,0.764998007,27.46744415,25.80271128
E01000157,8,2,8,7,33.07064863,4.186886266,29.99136074,22.23400442
E01000158,8,3,8,6,31.97880957,5.933488659,27.57364803,21.66969715
E01000159,8,4,8,7,29.90534069,10.10677757,29.04506722,22.88993899
E01000160,7,4,8,7,26.51581476,9.321662721,31.80032569,22.41369167
E01000161,9,2,8,7,39.16938824,3.42240275,28.75264992,23.57788953
E01000162,10,1,7,9,58.62307735,1.960946922,26.71309479,28.82765876
E01000163,6,5,8,6,20.38270187,14.82018959,28.13432474,21.04948324
E01000164,8,3,7,6,30.04955644,7.431077583,25.77487256,20.94862795
E01000165,6,5,7,5,20.11893952,15.57760849,24.61021779,20.0570088
E01000166,7,5,4,3,20.76195563,14.03378241,11.04153873,15.26663916
E01000167,8,4,5,4,29.18977841,10.90827533,12.27234694,17.39131498
E01000168,8,4,5,4,31.761331,8.483657682,11.90335016,17.2937884
E01000169,9,2,5,6,44.71244955,4.113903086,14.07588156,20.79887632
E01000170,10,1,7,8,59.2581194,1.426867656,20.65887248,26.85774232
E01000171,10,1,7,9,75.41012207,0.550026605,21.34351406,32.11570897
E01000172,7,3,6,4,26.68356827,5.253557596,19.46169072,17.01414505
E01000173,10,2,7,8,51.79136409,4.650351997,23.35705966,26.38009952
E01000174,10,2,7,10,74.02326031,3.07030232,23.37358769,33.18486263
E01000175,9,3,7,8,45.94209747,7.860431806,23.16709132,25.47857912
E01000176,7,2,8,6,25.23075468,4.326983568,31.46882205,20.18203473
E01000177,9,2,8,7,40.27695481,2.625729023,31.59311385,24.60987052
E01000178,9,2,8,8,42.92498908,2.615364085,31.34307268,25.39768417
E01000179,8,2,8,6,29.69069853,3.366282605,32.26464133,21.58979824
E01000180,9,2,8,8,45.05326269,2.634268363,34.4638931,27.13631265
E01000181,10,1,8,10,90.04962715,0.061559511,31.7245633,40.20641308
E01000182,9,1,8,8,50.10196808,0.269790858,34.13757222,27.89077719
E01000183,8,2,9,7,29.96732276,2.812486284,39.43074329,23.85760714
E01000184,6,5,8,5,19.85816772,12.324352,27.04217611,19.66739314
E01000185,8,2,8,7,35.31443376,3.636789489,29.32956303,22.56902737
E01000186,7,2,7,4,21.61760973,4.264030615,25.17704422,16.89200621
E01000187,6,3,6,2,19.9344066,5.206433896,16.65186161,13.84365603
E01000188,4,7,5,3,9.056390612,22.15013113,13.79369187,15.0715718
E01000189,7,5,6,4,20.87763628,14.06585096,16.16992054,17.00808308
E01000190,8,4,7,6,30.25744997,11.29973162,21.49677125,20.92080175
E01000191,7,3,7,4,24.81574226,5.750432196,24.02607766,18.07294752
E01000192,10,1,9,9,53.84541521,0.46992753,39.09780987,30.83103964
E01000193,10,2,8,9,64.66058657,2.928980198,32.03131185,32.90417974
E01000194,10,2,9,10,61.04263168,3.731295736,36.04849763,33.30871323
E01000195,4,7,5,3,10.06123273,21.93027582,13.25400779,15.15032315
E01000196,9,1,8,8,47.58748527,0.496596239,34.60307535,27.29172773
E01000197,8,2,9,7,28.03470824,3.481191821,41.58609827,24.15847137
E01000198,6,6,8,7,18.70461405,19.35921154,30.65419369,22.87053848
E01000199,7,6,8,7,23.8642824,15.95553647,28.05312322,22.55762626
E01000200,8,3,8,7,30.0234505,5.471302841,32.16970327,22.38398371
E01000201,7,5,9,8,23.76316202,12.51198748,41.7760076,25.88200172
E01000202,8,2,9,8,30.64594392,3.902778554,44.38410619,26.08686125
E01000203,6,4,9,7,19.4883341,8.805309847,43.7849246,23.87398072
E01000204,9,3,8,8,37.79257046,6.569615363,31.3133345,25.03861786
E01000205,7,3,9,7,23.07936927,7.183653524,41.2828479,23.68197387
E01000206,6,6,7,5,18.97489564,16.47189666,23.70666719,19.6853606
E01000207,7,2,9,7,25.47154597,4.177098291,38.20419125,22.4332067
E01000208,8,2,9,8,29.33735381,5.055470249,41.15874983,24.98257408
E01000209,9,2,9,8,36.78521067,3.986090138,42.3965366,27.48524725
E01000210,8,1,9,7,28.20468478,1.238353039,41.162007,23.31204832
E01000211,10,1,9,9,51.30528642,2.049394109,45.36007196,32.59636227
E01000212,9,2,9,8,37.09427371,4.034017841,42.89335866,27.76748475
E01000213,6,4,8,6,18.28637282,10.03007806,33.04545779,20.34973064
