lsoa11,r_dec,h_dec,e_dec,ahah_dec,r_dom,h_dom,e_dom,ahah
E01000377,9,5,8,8,38.25580685,11.96550783,28.39835706,26.06414675
E01000378,8,4,6,6,33.46118044,9.178506203,20.00960043,20.76604979
E01000379,7,4,6,4,25.63016918,9.373941349,18.30927599,17.68715696
E01000380,5,5,9,8,12.62003359,15.6172686,47.38166096,25.11043053
E01000381,3,9,5,5,5.474753876,40.43736936,12.96253995,19.83301254
E01000382,5,6,6,4,14.13414547,18.92405274,16.64176421,16.59022813
E01000383,3,9,4,4,5.913780506,36.36625719,11.18000128,18.00547543
E01000384,8,3,5,3,27.79118087,6.442558507,13.09867567,15.68412255
E01000385,5,7,5,3,14.04279717,21.19947494,12.56453784,15.98824203
E01000386,7,5,4,3,22.28449372,14.35649799,10.50532382,15.70184911
E01000387,4,8,6,5,8.362818836,31.19265304,16.90461347,18.94375469
E01000388,9,2,8,7,41.33858298,5.047338212,27.96486548,24.58623299
E01000389,9,3,7,7,42.76377757,5.259027464,25.4452148,24.29703682
E01000390,7,6,7,7,26.47621697,19.36552421,23.64422647,23.12402457
E01000391,8,4,7,7,32.68663736,9.716679969,26.81411857,22.93892064
E01000392,10,1,8,9,64.14166675,1.678892546,27.68034458,30.8720872
E01000393,9,4,8,8,43.45507026,8.597227123,28.58424573,26.6960315
E01000394,10,2,8,9,62.51937311,2.633658305,28.07892898,30.79288352
E01000395,8,4,7,6,30.18861694,9.169588437,26.69919524,21.89063809
E01000396,7,3,7,5,25.33200568,8.005606504,26.91383476,19.96303356
E01000398,7,5,8,6,20.91137381,15.5283965,27.84588708,21.3695509
E01000399,8,2,8,6,32.5204879,4.922331785,27.79664564,21.57824687
E01000400,9,3,9,9,39.98728368,6.446158407,39.04130123,28.27112688
E01000401,9,2,8,7,36.29497069,4.492398172,31.31970373,23.84025794
E01000402,6,5,9,7,17.29941237,14.28551602,37.36332008,22.89577715
E01000403,8,2,10,10,28.55410115,4.761836347,67.15251499,33.20220768
E01000404,9,5,10,10,40.1768708,15.07129819,62.28968569,38.93820502
E01000405,4,6,10,8,9.391121199,17.14411778,57.46276854,27.89078366
E01000406,4,5,9,7,10.86722469,12.12717091,47.56595909,23.40618876
E01000407,7,3,9,8,26.70961911,7.389029811,49.08225874,27.52358983
E01000408,4,7,10,9,11.19592936,24.30142137,61.61407336,32.28978416
E01000409,8,3,8,7,34.47606843,6.690099719,29.4173618,23.35946588
E01000410,7,2,9,6,24.08956513,3.603040245,38.28740684,21.80943443
E01000411,8,4,9,7,27.93002347,9.567752337,36.04328212,24.36422664
E01000412,5,7,7,6,15.64410474,22.91965497,23.92886399,20.85176237
E01000413,8,5,9,9,31.95696894,14.40733386,39.98728368,28.64009688
E01000414,10,1,8,10,80.42420099,0.915663422,28.49393025,36.25430887
E01000415,9,2,9,9,39.04724297,4.417781383,46.8541472,29.84950443
E01000416,7,6,8,7,22.00238358,16.21281801,31.22223549,23.07648241
E01000417,6,6,7,6,19.92146696,17.69993206,24.53895311,20.68991552
E01000418,7,7,8,8,26.76529306,21.9415719,31.31758046,26.62748271
E01000419,5,5,7,4,14.17239856,11.87780457,23.89347542,16.60019197
E01000420,6,7,8,7,17.96453587,21.84010633,31.61246085,23.78604507
E01000421,7,5,8,6,21.3380103,13.40942144,31.0642003,21.85193279
E01000422,5,7,8,7,14.33213663,21.10667143,34.01787796,23.1317731
E01000423,6,4,7,4,15.85559221,11.40043179,24.55793544,17.21261093
E01000424,8,2,8,6,35.73764127,3.13443107,27.7384216,22.01280731
E01000425,5,5,8,5,13.31604729,15.28284635,27.66584821,18.72019327
E01000426,6,4,7,3,15.73989635,10.04691318,23.37809739,16.32488842
