longitude,latitude,rank,metro_area,pop,year,name,Y,X
2019025.3176618677,863414.8293990343,11,"Newburyport, MA",6,1800,"Newburyport, MA, USA",42.8125913,-70.87727509999999
1614458.5485605972,162752.953847807,12,Richmond,5.7,1800,"Richmond, VA, USA",37.5407246,-77.4360481
2126044.4220356992,715467.1807565491,13,Nantucket,5.6,1800,"Nantucket, MA, USA",41.2834704,-70.099451
2020428.7881533524,893796.5016619624,14,"Portsmouth, NH",5.3,1800,"Portsmouth, NH 03801, USA",43.0717552,-70.7625532
2041707.8264753993,846805.7303679958,15,"Gloucester, MA",5.3,1800,"Gloucester, MA, USA",42.6159285,-70.6619888
1777630.4174249046,802417.89361721,16,"Schenectady, NY",5.3,1800,"Schenectady, NY, USA",42.8142432,-73.9395687
1796324.3447050054,788287.1398821838,17,Albany,5.3,1800,"Albany, NY, USA",42.6525793,-73.7562317
1963484.217124378,680236.5007678431,18,"New London, CT",5.2,1800,"New London, CT, USA",41.3556539,-72.0995209
1394907.4941948818,-496349.0099662345,19,Savannah,5.2,1800,"Savannah, GA, USA",32.0808989,-81.091203
2043227.5783492778,763444.0152024549,20,"Middleborough, MA",4.5,1800,"Middleborough, MA, USA",41.8929942,-70.9107708
1826306.8215123028,572323.5961299175,1,New York,101,1810,"New York, NY, USA",40.7127753,-74.0059728
1750159.3590360114,467500.28292565123,2,Philadelphia,87.3,1810,"Philadelphia, PA, USA",39.9525839,-75.1652215
1645401.3846196022,369094.44625939615,3,Baltimore,46.6,1810,"Baltimore, MD, USA",39.2903848,-76.6121893
2017891.0935164597,810721.5487696491,4,Boston,38.7,1810,"Boston, MA, USA",42.3600825,-71.0588801
1489404.4011597864,-402212.95491455356,5,Charleston,24.7,1810,"Charleston, SC, USA",32.7764749,-79.93105120000001
2026051.0467771208,831384.9177264982,6,"Salem, MA",23.1,1810,"Salem, MA, USA",42.51954,-70.8967155
1618357.9362595072,319724.89159618074,7,"Washington, DC",20.4,1810,"Washington, DC, USA",38.9071923,-77.0368707
571370.0657730749,-825013.831012461,8,New Orleans,17.2,1810,"New Orleans, LA, USA",29.95106579999999,-90.0715323
1796324.3447050054,788287.1398821838,9,Albany,10.8,1810,"Albany, NY, USA",42.6525793,-73.7562317
2005241.5662940776,745291.7254146772,10,Providence,10.1,1810,"Providence, RI, USA",41.8239891,-71.4128343
1614458.5485605972,162752.953847807,11,Richmond,9.7,1810,"Richmond, VA, USA",37.5407246,-77.4360481
1729013.8609793875,107232.51041438921,12,Norfolk,9.2,1810,"Norfolk, VA, USA",36.8507689,-76.28587259999999
2022811.0661811105,711296.1327055877,13,"Newport, RI",7.9,1810,"Newport, RI, USA",41.4901024,-71.3128285
2019025.3176618677,863414.8293990343,14,"Newburyport, MA",7.6,1810,"Newburyport, MA, USA",42.8125913,-70.87727509999999
2042384.6457147035,967835.9902975449,15,"Portland, ME",7.2,1810,"Portland, ME, USA",43.6590993,-70.2568189
2020428.7881533524,893796.5016619624,16,"Portsmouth, NH",6.9,1810,"Portsmouth, NH 03801, USA",43.0717552,-70.7625532
2126044.4220356992,715467.1807565491,17,Nantucket,6.8,1810,"Nantucket, MA, USA",41.2834704,-70.099451
2041707.8264753993,846805.7303679958,18,"Gloucester, MA",5.9,1810,"Gloucester, MA, USA",42.6159285,-70.6619888
1777630.4174249046,802417.89361721,19,"Schenectady, NY",5.9,1810,"Schenectady, NY, USA",42.8142432,-73.9395687
1898074.298640454,658263.9733892003,20,New Haven,5.8,1810,"New Haven, CT, USA",41.308274,-72.9278835
1826306.8215123028,572323.5961299175,1,New York,131,1820,"New York, NY, USA",40.7127753,-74.0059728
