city,other_name,country,latitude,longitude,certainty,year,population
Clermont,NA,France,45.7831,3.0824,2,1787,21357
Copenhagen,NA,Denmark,55.67594,12.56553,1,1787,92671
Cordoba,"Cordova, CÛrdoba",Spain,38.046133,-4.893564,2,1787,28000
Debrecen,NA,Hungary,47.53333,21.63333,1,1787,28873
Dieppe,NA,France,49.922992,1.077483,1,1787,18954
Dijon,NA,France,47.31667,5.01667,1,1787,20025
Dunkerque,Dunkirk,France,51.0383,2.3775,1,1787,25243
Granada,NA,Spain,37.177336,-3.598558,1,1787,52345
Jodhpur,NA,India,26.26841,73.00594,1,1787,90000
La Rochelle,NA,France,46.16667,-1.15,1,1787,17253
Le Havre,NA,France,49.494369,0.107931,1,1787,22059
Lille,NA,France,50.628442,3.054975,1,1787,65907
Limoges,NA,France,45.83153,1.2578,1,1787,19000
Liverpool,NA,United Kingdom,53.408372,-2.991572,1,1787,56670
Lyon,NA,France,45.74846,4.84671,1,1787,135207
Madrid,NA,Spain,40.416775,-3.703789,1,1787,156672
Malaga,NA,Spain,36.721261,-4.421267,1,1787,41592
Metz,NA,France,49.11911,6.17269,1,1787,45090
Montpellier,NA,France,43.61092,3.87723,1,1787,26000
Murcia,NA,Spain,37.98704,-1.13004,1,1787,38000
Nimes,NÓmes,France,43.83333,4.35,1,1787,41000
Oporto,Porto,Portugal,41.167972,-8.627064,1,1787,63505
Orleans,OrlÈans,France,47.902964,1.90925,1,1787,36000
Palma,NA,Spain,39.56939,2.65024,1,1787,29529
Rennes,NA,France,48.11198,-1.67429,1,1787,31000
Rouen,NA,France,49.44313,1.09932,1,1787,68040
Saint-Malo,NA,France,48.649336,-2.025675,1,1787,15000
Saint-Omer,NA,France,50.750114,2.252208,1,1787,16254
Segovia,NA,Spain,40.943564,-4.113003,1,1787,15000
Seville,NA,Spain,37.388097,-5.982331,1,1787,80268
Strasbourg,Strassburg,France,48.58342,7.74296,1,1787,47000
Toledo,NA,Spain,39.862831,-4.027322,1,1787,21000
