,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
34,"Kansas City, MO",0,0,0,0,0,0,0,0,0,0,0,0,20,19,19,19,20,0,0,0,0,0,0,5
35,"Salem, MA",7,8,9,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
36,"Phoenix, AZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,9,6,6,5
37,"Seattle, WA",0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,19,19,0,0,0,0,0,4
38,"Norfolk, VA",20,10,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
39,"Columbus, OH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,15,15,4
40,"Portsmouth, NH",14,15,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
41,"San Jose, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,11,10,4
42,"Newport, RI",8,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
43,"Kensington, PA",0,0,0,0,15,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
44,"Spring Garden, PA",0,0,0,0,20,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
45,"Portland, ME",0,0,18,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
46,"Newburyport, MA",13,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
47,"Sherburne, MA",15,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
48,"Jacksonville, FL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,11,3
49,"Austin, TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,2
50,"Rochester, NY",0,0,0,0,0,19,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
51,"Marblehead, MA",11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
52,"Gloucester, MA",12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
53,"Alexandria, DC",0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
54,"Fort Worth, TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
55,"El Paso, TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
56,"Schenectady, NY",0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,"Troy, NY",0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,"Charlotte, NC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
59,"Lowell, MA",0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,"Middleborough, MA",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,"Savannah, GA",0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,"Georgetown, DC",0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,"New London, CT",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,"New Haven, CT",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
